Job_Title,Total_monetary_compensation
"Clinical liaison ",113000
"Pharmacy manager ",175000
"Senior Quality Manager",141600
"Substance abuse counselor",72497
"Library Assistant I",206688
"Quality Control Assistant ",82000
A/R,77497
"Bookkeeper and office Assistant",50700
"Strategic Buyer",13577
"Director, Operational Performance ",132000
"Clinical Mental Health and Academic Counselor",72497
"Lean Six Sigma Specialist",73497
"Cloud Consultant",77040
"Wax Cell Operator C",44759
Adjunct,33497
"Preschool Program Director",65000
"Community Director",204735
"Operations Project Lead",55097
"Order Processor",33257
"Graduate Assistant",47997
"Director of Exhibitions and Collections",52100
"Unit Clinical Coordinator",78700
"Freelance Copywriter ",173497
"Technical Sales Manager ",109497
Carpenter,61497
"Certified Inpatient Coder",64184
"Medical Assistant ",32650
"Director, Professional Services",251500
"Continuum of Care Specialist",65497
"Medical Assistant Team Lead",63417
"Department Head",247994
"Clinical Lab Assistant II",57000
"Case Management Program Manager",82997
"Communications and Content Manager",83497
"Conversions Implementation Analyst",67497
"Desktop Support Technician ",57497
"Digital Content Coordinator ",61040
"Engineer V(5)",185000
"Engineering Intern",55497
"Medical Physicist Assistant",76500
"International Banking Specialist",55400
"Orthopedic Surgery Resident",68947
"Lead Data Engineer",142000
"Senior Channel Manager",141450
"Manager, IT Security Operations",130000
"People Partner",86355
"Senior Application Developer",326497
"Intake admin assistant",48497
"Quality Control Scientist, SR",52250
"Regulatory Response Consultant",87802
"Reporting Analyst II",83497
"Workday Financials Consultant",68000
"Sales Account Manager",168497
"Sales Controller",115000
"Senior Communications Coordinator",98497
"Senior EHS Analyst",98497
"Senior Quality Systems Analyst",100000
"Senior Web Engineer",94277
"Science Teacher ",48497
Shareholder,355000
"Shipping and Warehouse Operations Manager",115497
"Software Developer Team Lead",93500
"Director of Enablement",120000
"Medical Information specialist",158000
"Assistant Director, Internship Program",55734
"Senior Android Developer",231497
"Academic Librarian ",134994
"Onsite Maintenance ",61497
"Director of Digital Services ",96000
"Advertising/Sales Promotion Coordinator",46680
"Sr. Program Mgr. Ethics and Compliance",164000
"Supervising Attorney ",142348
"Benefits Consultant",52000
"Adminitration Assistant",54500
"Compliance Specialist",312991
"Quantitative Model Analyst",130000
"Division Manager",329247
Mediator,131497
"Occupational Safety Technician ",69497
"Principal Planning Analyst",107497
"Talent Acquisition Supervisor",94597
"Product photographer",63000
"6-8 English as a Second Language Teacher",62505
"Elementary School Librarian",74000
"Academic Records Coordinator",68297
"Account Service Representative ",42000
"IT Management Consultant",59000
"Airline Operations",62000
"PA to Partner and Production Editor",48000
"Assistant Production Editor",100497
"Director of Legal and Compliance",149500
"Assistant Registrar",200531
"Projekt Manager",73497
"Associate Channel Marketing Specialist",108497
"Pediatric/Nicu Nurse",39497
"Safety Specialist",81000
"Associate Manager ",126500
"Brand Management",130000
"BSA/Compliance Officer",82057
"English Editor",43497
"Business Development",169000
"Business Risk Manager",155000
"Business Support Consultant",134797
"Senior Marketing Writer",100797
"Consultant II",89747
"Customer Service Coach",118257
"Data Integrity",36572
"Database Analyst",157997
"Digital Content Developer",86000
"Digital Producer",196697
"Director of Children, Youth and Family Ministries",63497
"Director of Home Based Services",77997
"Director of International Student and Scholar Services",83497
"Director of IT",458994
"Director of Stewardship",83497
"Director Property Tax",210000
Software-Developer,74497
"Team Lead Native Apps",101497
"Interim Director of Cataloging and Metadata Services",109497
"Enterprise account executive",500000
"Technical Sales Engineer ",85000
"Squad Leader",103497
"External Relations Coordinator",84997
"field representative",124372
"Finance and Contracts Coordinator",73817
"Financial Data Specialist",57500
"Financial Operations Manager",108497
"Financial Systems Manager",252000
"Food Service Managee",59197
"Front Desk Agent",47297
"Fulfillment Quality Specialist",67000
"Full Stack Software Engineer II",100497
"Business Development Analyst",54000
"Senior Developer / Consultant",73
"GIS Lead",76200
"Graduate Research Assitant",70694
CRNA,166000
"Hardware Verification Engineer",82800
"IT Training Specialist",89497
"Marketing Manager / Freelance Consultant ",118497
"Elementary School Social Worker",60000
"HR Manager/Accounts Payable",66997
"Chaplain ",78660
"Implemenation / Conflict Analyst",76297
"RN, Clin Spec V",95000
"Information Access Systems Analyst ",78000
"Information Technology Professional",89977
"Inhouse Litigation Paralegal",92977
"Insurance Analyst",90497
"Interface Analyst",81000
"IT Network and Business Analyst ",91497
"PD Project Management Specialist",101000
"IT Operations",237145
"Lab and Special Projects Director",76872
"Lead Business System Analyst",121202
"Local TV News Assignment Editor",63497
"Medical scribe ",44497
"Manager of Community Relations",90497
"Manager of Professional Services",95000
"Media Supervisor",203994
"Member Service Manager",76500
"Multimedia and Graphic Designer",56497
"Pharmacist ",221634
"Onboarding Specialist ",83000
"Order Services Supervisor",85497
"Part Handler",41629
"Statistical Programmer II",100497
"Principal Business Systems Analyst",126000
"Process Manager",354694
"Scientific Aid",40497
Analytics,180000
"Museum Specialist",62497
"R&D Scientist",77475
"Regulatory Compliance Manager",224497
"Senior Embedded Software Engineer",282994
"Senior Engineering Manager",435247
"HR Administrator/Generalist",13537
"Learning and Development Coordinator",55000
"Senior Manager Commercialization ",118000
"HR assistant ",46777
"Senior Security Expert",195000
"Senior Technical Sales Engineer",109000
"Security Officer",150897
"Senior Credit Analyst",80000
"Senior Devops and SRE",153497
"Senior Geochemist ",95000
"Sr. Account Executive",100497
"Software Engineer in Test",186497
"Supervisor, Site Based Learning",90497
"Supply Chain Project Manager",120000
"Technical advisor service engineer",115000
"Title Support Team Supervisor",70000
Transcriptionist,63497
"Transportation Manager",108000
"UI/UX designer",78000
"Remote Office Assistant",44697
"Video producer",179497
"Volunteer and Giving Coordinator",52497
"VP Engineering",150000
"VP, Administration",169000
"Web Software Engineer III",103500
Webmaster,111250
"Technical Services Manager",61525
"Principal Industrial Engineer",145000
"Sr. CopyWriter",163497
"Head of Teen Services",163994
"Onboarding Specialist",158497
"QA Team Lead and Scrum Master",123497
"Senior Analyst, Information Technology",116160
"Sr. Analytic Consultant",121497
"Director of Resource Services",98697
"Business Liaison Consultant 3",120000
"Children's Services Library",55250
"Teen Services and Digital Creativity Library",55497
"Senior Associate Actuary",266500
"Sr. Software Engineering Manager ",178000
"Frontend Software Engineer",223497
"Children's Supervisor",78497
"Digital Strategist ",73500
"Agile Journey Owner",157000
"Community Outreach Manager",122000
"Customer Experience Director ",150000
"Cashier/back-end food prep",32217
"Director of Managed Services",101497
"YA Library",71497
"HRIS Analyst ",84900
"Interior designer ",54000
"Lending Officer",115200
"Children's Services Coordinator",95413
"Social Work Unit Supervisor ",96500
"Media Strategy Supervisor",70497
"Mental health outpatient therapist ",98497
"Principal Product Analyst",139000
"Regional administrator ",45200
"Regulatory Affairs Specialist, senior",112997
"Research Director, medical school",130497
"Teen Librarian",321462
"Senior Academic Advisor",74497
"Senior Engineering Technician ",81497
"Senior Integration Management Analyst",94997
"Sourcing and Procurement Consultant",110000
"Support Specialist ",66497
"Makerspace Coordinator",59680
"Secretary to Assistant Principal ",47177
"Total Absence Management Consultant ",81125
"Executive Assistant and Special Projects Manager",64497
"Grant Writer ",116997
"College Assistant Archivist",44497
"Circulation Specialist",44697
"Quality Engineer II",93500
"Library Services Representative II",46497
"Content Management Consultant",132057
"Music Teacher Half Time Grades PK -4",67597
"English Instructor",56397
"EHR Business Analyst",74497
"Financial Aid Manager",73962
"Solution Consultant",280500
"PHP Developer",85997
"Development Database Associate",54697
"Director, Donor Development",119497
"Gardens Manager",52497
"IT Change Manager",163497
"Scientific Assistant",67597
"Technical Services Librarian",320909
"Sustainability Coordinator ",48497
Videomaker,42600
"VP/Compliance Officer",98497
"Development and communication director ",47497
"Job title ",13577
"Optical Development Engineer",68500
"Library Technical Assistant II",41497
"HRIS Business Analyst",105497
"Association Manager",53497
"Quality Control ",85000
"One to one aide",59497
"Education Specialist",73497
"Sr. Consultant ",131000
"European Quality Manager",71500
IT-Consultant,88497
"EL kindergarten teacher",49497
"Teacher 4th Grade",51007
"Processing Coordinator",52497
"Continuous Process Improvement Manager",80497
"IT Technical Support Analyst",99500
"ILS/ILL Consultant",79497
"Agronomy Research Associate ",49497
"Program director/therapist",87897
"Math Instructor (Tenured)",163497
"Test Officer",76497
"Assoicate Library Director",114497
"Director of Spa",90497
"Executive Chef",207994
"Senior Test Automation Engineer",85497
"Marketing Writer",51500
"Digital Initiatives Archivist, Senior",80200
"Senior Tax/Fixed Asset Specialist",56000
"Software Test Engineer",159500
"Programmer Analyst ",101497
"Deli Counter Staff",48857
"Calculation engineer",80497
"Language Trainer",49065
"Apprentice Mechanic for Construction Machinery",11900
"Senior Data Architect",273000
"Circulation assistant",48497
"Web Editor",75322
"Sound Design",48497
"Commercial Engineer",101497
"Environmental Manager I",74889
"Business Process Consultant Logistics",77700
"Narrative Designer",18924
"Project Manager / Account Manager",13530
"Cloud Data Analyst",77000
"Head of Circulation and Reference",55497
IT,106507
"English as a Second Language Teacher",168491
"Product Owner E-Commerce",73497
"User Experience Architecture Associate Manager",158868
"Working Student",78897
"Group Finance Manager",135000
"Security Manager",166497
"Junior License Manager",40000
"Head of Public Services",62930
"iOS Software Engineer",88497
"Chapter Lead Backend Development",103497
"International Agreements Coordinator (contracts)",56497
"CRM manager ",13567
"Software Engineering Manager ",128000
"Head of Engineering and Technology",90000
"R&D Associate ",80560
"Social Worker- Investigations/Assessments and Treatment",63897
"Integrated Health Therapist",64497
"Youth Services Outreach Assistant",49689
"Grants Accountant Sr.",75497
"Library Associate/Student Supervisor",41497
"Principal Test Engineer",138497
"Nuclear Systems Engineer",132000
"Claims Operations Analyst",74000
"Controlling Assistant",68497
"Function developer ",88000
"Digital Marketing Social Media Manager",65897
"Deputy Prosecuting Attorney",97497
"Senior Registered Associate ",82000
"Manager of Special Collections",98497
"Market Research Analyst",94500
Welder,111000
"Architectural Intern",101097
"Financial Aid Counselor ",47497
"Collections Manager",119677
"Director, Consulting ",162800
"Clinic Director",169994
"Stewardship Director",74497
"Consolidation Manager",112000
"Director of Philanthropic Partnerships",111000
"People Operations Assistant Coordinator",71737
"QA Assistant Manager",53000
"Graduate Student",689502
"Technical Data Manager",107500
"Digital Media Producer",68497
"Business operations associate",110000
"Online Tutor",14377
"Asisstant Professor",68000
"NCOIC, Analysis and Production",65497
