Overall_Experience,Job_Title,Total_compensation
"2 - 4 years","Techical Writer II",74200
"2 - 4 years","Technical Artist",140000
"2 - 4 years","Technical consultant",137097
"2 - 4 years","Technical Development Research Associate",103000
"2 - 4 years","Technical editor ",88497
"2 - 4 years","Technical Instructional Designer",82500
"2 - 4 years","Technical Officer",68497
"2 - 4 years","Technical Product Manager",121000
"2 - 4 years","Technical Program Manager",250000
"2 - 4 years","Technical Project Manager",100450
"2 - 4 years","Technical Recruiter ",83000
"2 - 4 years","Technical Sales Specialist",120000
"2 - 4 years","Technical Services",84000
"2 - 4 years","Technical Services Engineer",83500
"2 - 4 years","Technical Services Librarian",45170
"2 - 4 years","Technical Solutions Engineer",97000
"2 - 4 years","Technical Staff",248494
"2 - 4 years","Technical Support",43497
"2 - 4 years","Technical Support Engineer",178653
"2 - 4 years","Technical Support Specialist",83497
"2 - 4 years","Technical Writer",431644
"2 - 4 years","Technical Writer II",54500
"2 - 4 years",Technician,55497
"2 - 4 years","Technician ",111500
"2 - 4 years","Technology Developer",77500
"2 - 4 years","Technology Support Specialist",70497
"2 - 4 years","Teen Librarian",44500
"2 - 4 years","Telematics Systems Engineer",95997
"2 - 4 years","Telescope Operator",21000
"2 - 4 years",Teller,26000
"2 - 4 years","Tenant Interviewer",46497
"2 - 4 years","Tenant Services Coordinator",47497
"2 - 4 years","Test Engineer",265991
"2 - 4 years","Test Engineer II",78200
"2 - 4 years","Testing Specialist",25200
"2 - 4 years","Theatre Director",73497
"2 - 4 years",Therapist,53497
"2 - 4 years","Toxicologist I",88000
"2 - 4 years","Train Dispatcher",30168
"2 - 4 years","Train ops",55497
"2 - 4 years","Trainee IT Infrastructure ",29497
"2 - 4 years","Trainee Solicitor",136491
"2 - 4 years","Training Consultant ",67997
"2 - 4 years","Training Coordinator/Risk Communicator",47497
"2 - 4 years","Training Specialist",97497
"2 - 4 years","Transcription Coordinator ",38000
"2 - 4 years","Transmission Engineer",78497
"2 - 4 years","Transport Consultant",30000
"2 - 4 years","Transportation Engineer",83497
"2 - 4 years","Transportation Engineer II",80500
"2 - 4 years","Transportation Planner",89497
"2 - 4 years","Travel Agent",72000
"2 - 4 years","Travel designer",40997
"2 - 4 years",Tutor,165028
"2 - 4 years","Tutoring Center Manager",65000
"2 - 4 years","Uber driver",68840
"2 - 4 years","UI Designer",105000
"2 - 4 years","Undergraduate Research Assistant",30497
"2 - 4 years",Underwriter,165300
"2 - 4 years","Underwriting Assistant",51350
"2 - 4 years","Underwriting assistant ",55513
"2 - 4 years","Unit Secretary",53497
"2 - 4 years","University Library Technician ",61702
"2 - 4 years",Unknown,27465
"2 - 4 years","Urban Planner",72000
"2 - 4 years","User Experience Designer",107000
"2 - 4 years","User Experience Designer Apprentice",35717
"2 - 4 years","User Experience Researcher",85280
"2 - 4 years","User Research Analyst",68900
"2 - 4 years","UX Designer",460691
"2 - 4 years","UX Designer ",1040000
"2 - 4 years","UX Designer / Developer",73497
"2 - 4 years","UX Research",245000
"2 - 4 years","UX researcher ",127000
"2 - 4 years","UX Writer",73497
"2 - 4 years","UX/UI Designer",180994
"2 - 4 years","Validation Analyst",57000
"2 - 4 years","Validation Engineer",112000
"2 - 4 years","Vendor compliance specialist ",51497
"2 - 4 years","Venture Capital Associate",155000
"2 - 4 years",Veterinarian,98497
"2 - 4 years","Victim Advocate",60497
"2 - 4 years","Video Interpreter",56497
"2 - 4 years","Visiting Assistant in Research",73497
"2 - 4 years","Visiting assistant professor",75497
"2 - 4 years","Visual Designer",63000
"2 - 4 years","Volunteer and Giving Coordinator",52497
"2 - 4 years","Volunteer coordinator",38000
"2 - 4 years","VP of Research and Development",93497
"2 - 4 years","Walmart cashier",46049
"2 - 4 years","Warehouse analyst",76000
"2 - 4 years","Warehouse Manager ",55497
"2 - 4 years","Water Management Engineer (in Training)",71200
"2 - 4 years","Wealth Management Analyst",115000
"2 - 4 years","Web and Content Specialist",38497
"2 - 4 years","Web Application Developer",66000
"2 - 4 years","Web Consultant",43100
"2 - 4 years","Web Designer",65497
"2 - 4 years","Web Developer",232491
"2 - 4 years","Web Services Librarian",62497
"2 - 4 years","Wholesale planner",110000
"2 - 4 years","Workday Financials Consultant",68000
"2 - 4 years",Worker,37497
"2 - 4 years","Workforce Analyst",105000
"2 - 4 years","Workplace Manager",65000
"2 - 4 years",Writer,119497
"2 - 4 years","Written Content Specialist",56075
"2 - 4 years","Youth Program Coordinator",45497
"2 - 4 years","Youth Services Librarian",55868
"2 - 4 years","Youth Services Outreach Assistant",49689
"21 - 30 years"," Network Coordinator",63497
"21 - 30 years"," Program Manager ",97497
"21 - 30 years"," Vendor Manager",150000
"21 - 30 years","1st Line ICT Support Analyst",58497
"21 - 30 years","1x1 Coordinator",265000
"21 - 30 years","3rd Line Technical Analyst",53000
"21 - 30 years","A/R Analyst",92000
"21 - 30 years","Academic Advisor",207491
"21 - 30 years","Academic Services Coordinator",42700
"21 - 30 years","Academic success coach",66497
"21 - 30 years","Account coordinator ",51374
"21 - 30 years","Account Director",263497
"21 - 30 years","Account Executive",380000
"21 - 30 years","Account Manager",542561
"21 - 30 years","Account manager ",91497
"21 - 30 years","Account Representative",55260
"21 - 30 years",Accountant,964976
"21 - 30 years","Accountant III",69906
"21 - 30 years","Accounting and AP Specialist",53000
"21 - 30 years","Accounting and Finance Manager",109497
"21 - 30 years","Accounting Clerk ",48129
"21 - 30 years","Accounting Coordinator",49897
"21 - 30 years","Accounting manager",694497
"21 - 30 years","Accounting Manager ",108000
"21 - 30 years","Accounting Specialist",53497
"21 - 30 years","Accounting Specialist IV",82053
"21 - 30 years","Accounting Supervisor",68200
"21 - 30 years","Accounting Supervisor ",83600
"21 - 30 years","Accounts payable",41497
"21 - 30 years","Accounts payable Analyst ",91900
"21 - 30 years","Accounts Payable Manager",100497
"21 - 30 years","Accounts Payable Specialist",80000
"21 - 30 years","Accounts Payable Supervisor",75000
"21 - 30 years",Actor,52497
"21 - 30 years","Adjunct ESOL Instructor",58497
"21 - 30 years","Adjunct Instructor",112994
"21 - 30 years",Adjuster,64000
"21 - 30 years","Admin Coordiantor",76069
"21 - 30 years","Admin/Customer Service",49497
"21 - 30 years","Administratie Assistant",48497
"21 - 30 years","Administration Director",83000
"21 - 30 years",Administrative,111782
"21 - 30 years","Administrative ",145500
"21 - 30 years","Administrative Assistant",784686
"21 - 30 years","Administrative Assistant ",400471
"21 - 30 years","Administrative Assistant - Intermediate",57115
"21 - 30 years","Administrative Assistant II",63500
"21 - 30 years","Administrative Assistant III",60747
"21 - 30 years","Administrative Assistant IV",190551
"21 - 30 years","Administrative Coordinator",240514
"21 - 30 years","Administrative coordinator ",151965
"21 - 30 years","Administrative Director",47817
"21 - 30 years","Administrative Law Judge",109500
"21 - 30 years","Administrative Librarian",283793
"21 - 30 years","Administrative Manager",117000
"21 - 30 years","Administrative Officer",130497
"21 - 30 years","Administrative Services",76997
"21 - 30 years","Administrative Services Team Lead",76497
"21 - 30 years","Administrative Social Work Supervisor ",83497
"21 - 30 years","Administrative Specialist",125000
"21 - 30 years","Administrative Supervisor",84962
"21 - 30 years","Administrative support",217336
"21 - 30 years","Administrative Support Assistant 4",60693
"21 - 30 years","Administrative Systems Analyst",64997
"21 - 30 years",Administrator,366245
"21 - 30 years",Admissions,37000
"21 - 30 years","Admissions Assessor ",87979
"21 - 30 years","Admissions Communications",63497
"21 - 30 years","Admissions Representative",165000
"21 - 30 years","Adult Public Services Manager",73497
"21 - 30 years","Adult Services Manager",178994
"21 - 30 years","Advanced EMT",40475
"21 - 30 years","Advisor Internal Digital communication systems",93497
"21 - 30 years","Advisory Software Engineer",151497
"21 - 30 years","Aerospace Engineer",122367
"21 - 30 years","Agile Coach",166000
"21 - 30 years","Agile Journey Owner",157000
"21 - 30 years","Airworthiness Engineer",93000
"21 - 30 years",Analyst,817988
"21 - 30 years","Analyst programmer",51500
"21 - 30 years","Analytic Consultant",100000
"21 - 30 years","Analytics Manager, Strategic Planning",104497
"21 - 30 years","Animal Curator",63497
"21 - 30 years","Animal keeper",45497
"21 - 30 years","AP and Payroll Coordinator",54847
"21 - 30 years","Application Consultant ",85000
"21 - 30 years","Application Developer",95497
"21 - 30 years","Application Development Manager",103497
"21 - 30 years","Application Specialist",107500
"21 - 30 years","Application Specialist II",86089
"21 - 30 years","Application Support Engineer Expert",50500
"21 - 30 years","Application Support Manager",107497
"21 - 30 years","Application Support Technician II",67500
"21 - 30 years","Applications Administrator",87997
"21 - 30 years","Appraiser III",78497
"21 - 30 years","Aquatic Supervisor",89497
"21 - 30 years","AR Manager",66497
"21 - 30 years",Archaeologist,69885
"21 - 30 years",Architect,120000
"21 - 30 years","Architectural Designer",61500
"21 - 30 years","Architectural Project Manager",90497
"21 - 30 years",Archivist,358891
"21 - 30 years","Art Director",346994
"21 - 30 years","Art Director ",95997
"21 - 30 years","Art Director for Games",61497
"21 - 30 years","Art Teacher",117497
"21 - 30 years","Artistic Director",55497
"21 - 30 years","Assessment Coordinator",123497
"21 - 30 years","Asset Inspector",70500
"21 - 30 years",Assistant,202891
"21 - 30 years","Assistant ",53376
"21 - 30 years","Assistant Account Manager",42885
"21 - 30 years","Assistant Buyer",56497
"21 - 30 years","Assistant city attorney",97897
"21 - 30 years","Assistant Commissioner",137497
"21 - 30 years","Assistant Community Library Manager",74497
"21 - 30 years","Assistant Controller",196197
"21 - 30 years","Assistant Counsel",113497
"21 - 30 years","Assistant Dean",273994
"21 - 30 years","Assistant Department Head",73497
"21 - 30 years","Assistant Director",268491
"21 - 30 years","Assistant Director of Finance",279994
"21 - 30 years","Assistant Director of Graduate Admissions",84497
"21 - 30 years","Assistant Director of Health and Counseling Services",73497
"21 - 30 years","Assistant Director Special Projects",110497
"21 - 30 years","Assistant Director, Benefits",79807
"21 - 30 years","Assistant Director/Adult Svcs Coordinator",83497
"21 - 30 years","Assistant General Counsel",173000
"21 - 30 years","Assistant Manager",93497
"21 - 30 years","Assistant National Director ",83497
"21 - 30 years","Assistant Principal ",100000
"21 - 30 years","Assistant Professor",298991
"21 - 30 years","Assistant Professor of Practice ",55000
"21 - 30 years","Assistant Professor, Clinical Teaching Track (NTT)",80497
"21 - 30 years","Assistant property manager",59497
"21 - 30 years","Assistant Store Leader",65310
"21 - 30 years","Assistant Store Manager",73000
"21 - 30 years","Assistant to the Chair II",78497
"21 - 30 years","Assistant treasurer",68997
"21 - 30 years","Assistant Vice President for Student Affairs",127497
"21 - 30 years","Associate Architect",130000
"21 - 30 years","Associate Attorney",115000
"21 - 30 years","Associate Banker",47297
"21 - 30 years","Associate Consultant",121497
"21 - 30 years","Associate Copy Chief and Manager of Digital Workflow",98500
"21 - 30 years","Associate Copy Editor",49497
"21 - 30 years","Associate Counsel ",84300
"21 - 30 years","Associate Creative Director",163497
"21 - 30 years","Associate dean",246994
"21 - 30 years","Associate Department Chair",154497
"21 - 30 years","Associate Director",530991
"21 - 30 years","Associate Director ",234497
"21 - 30 years","Associate Director Market Access",140000
"21 - 30 years","Associate Director of Admissions",100497
"21 - 30 years","Associate Director of Communication",108497
"21 - 30 years","Associate Director of Marketing and Communications",113497
"21 - 30 years","Associate Director of Public Health Program",148497
"21 - 30 years","Associate Director of Quality",111000
"21 - 30 years","Associate Director, Corporate Insurance",165000
"21 - 30 years","Associate Director, external communications (press relations, pr, etc.)",127497
"21 - 30 years","Associate Director, Marketing Communications",191000
"21 - 30 years","Associate Director, Social Media",148497
"21 - 30 years","Associate Head, Library",103497
"21 - 30 years","Associate Librarian",78686
"21 - 30 years","Associate Library Director",85497
"21 - 30 years","Associate Marketing Director",105017
"21 - 30 years","Associate Network Engineer",79378
"21 - 30 years","Associate Partner",175000
"21 - 30 years","Associate Professor",896055
"21 - 30 years","Associate professor ",287494
"21 - 30 years","Associate Professor of History",139500
"21 - 30 years","Associate Professor-Librarian",98000
"21 - 30 years","Associate Professor, Pharmacist",132497
"21 - 30 years","Associate Project Manager",79905
"21 - 30 years","Associate Registrar",91497
"21 - 30 years","Associate Staff Firmware Engineer",215000
"21 - 30 years","Associate Staff Scientist",82000
"21 - 30 years","Associate Underwriter",75322
"21 - 30 years","Associate Vice President Students",168497
"21 - 30 years","Association Solutions",67840
"21 - 30 years",Attorney,1366122
"21 - 30 years","Attorney ",94498
"21 - 30 years","Attorney (Junior Partner)",163497
"21 - 30 years","Attorney advisor",103497
"21 - 30 years",Audiologist,126497
"21 - 30 years",Audiologist/President,95000
"21 - 30 years","Audiology Technician/Newborn Hearing Screener",60497
"21 - 30 years","Audit Manager ",115497
"21 - 30 years",Author,250994
"21 - 30 years","Automotive technician",54000
"21 - 30 years","AVP Digital Marketing",114500
"21 - 30 years","AVP, Finance ",168100
"21 - 30 years","Bank teller",44697
"21 - 30 years",Barrister,32000
"21 - 30 years","Benefit System Lead",90497
"21 - 30 years","Benefits and Leave Manager",98000
"21 - 30 years","Benefits Manager",110000
"21 - 30 years","Benefits Officer",66150
"21 - 30 years","Benefits specialist",46059
"21 - 30 years","Best Boy",223000
"21 - 30 years","BI Developer",260494
"21 - 30 years","Bid Manager",63497
"21 - 30 years","Billing and Commission Specialist",53703
"21 - 30 years","Billing Clerk",39820
"21 - 30 years","Bioinformatics researcher",94497
"21 - 30 years",Biologist,109497
"21 - 30 years","Biomedical Engineering Technician II",78497
"21 - 30 years","Blind Rehabilitation Specialist ",103840
"21 - 30 years","Board certified physician ",158497
"21 - 30 years","Bond Analyst",300000
"21 - 30 years",Bookkeeper,437849
"21 - 30 years","Bookkeeper ",57500
"21 - 30 years","Bookkeeper/HR Manager",57200
"21 - 30 years","Bookkeeper/Office Administrator",52500
"21 - 30 years","Box office and Admin manager",36497
"21 - 30 years","Branch Chief",117000
"21 - 30 years","Branch Librarian",75086
"21 - 30 years","Branch Librarian ",61497
"21 - 30 years","Branch manager",446497
"21 - 30 years","Brand Manager",73497
"21 - 30 years","Branding Director",143497
"21 - 30 years","Brokerage Services Associate",51210
"21 - 30 years","Bureau Director",119497
"21 - 30 years","Business Administration Assistant ",33516
"21 - 30 years","Business Analysis Manager ",72000
"21 - 30 years","Business Analyst",870982
"21 - 30 years","Business Analyst I",66000
"21 - 30 years","Business Control Analyst ",112897
"21 - 30 years","Business Development manager",190000
"21 - 30 years","Business Intelligence Analyst",104800
"21 - 30 years","Business Intelligence Analyst II ",88497
"21 - 30 years","Business manager",225494
